,index,date,yearly_trend_calc_2019,pred_2019,yearly_trend_calc_2018,pred_2018,yearly_trend_calc_2017,pred_2017,yearly_trend_calc_2016,pred_2016,yearly_trend_calc_2015,pred_2015,yearly_trend_calc_2014,pred_2014,num_harmed,non_observation,year,nyd
0,0,2014-01-01,,89.8513563611396,,87.64623099968416,,89.51904813682133,,92.00031204964617,,95.6224069514287,,96.08449411218399,182.0,,2014,0.0
1,1,2014-01-02,,85.98169488323987,,82.56238443524082,,83.80402473044511,,86.45607016914808,,90.53092389360758,,89.83207851474353,77.0,,2014,
2,2,2014-01-03,,91.3449919647676,,88.87271469642316,,90.64114125487586,,93.27527269510759,,96.25300061585493,,99.8923564315053,96.0,,2014,
3,3,2014-01-04,,120.33076585162561,,117.34056817274228,,119.51490215311736,,122.27593524260124,,123.51157002491068,,125.22234334239505,111.0,,2014,
4,4,2014-01-05,,128.6472587381868,,126.40819724224818,,128.62164917444898,,126.3156246088633,,127.28904965492656,,124.59958571076504,97.0,,2014,
5,5,2014-01-06,,92.75151700927995,,91.12874239068194,,92.87066812264881,,94.21772363322886,,95.37290382009404,,98.03274737570239,54.0,,2014,
6,6,2014-01-07,,86.86357741245902,,85.24628136802133,,87.1496774419412,,87.61303245321922,,89.84822138617493,,89.68445020396702,64.0,,2014,
7,7,2014-01-08,,85.84094006366391,,84.88480181144375,,85.91994483439247,,87.12366352415103,,90.1978539425991,,91.81177414947003,85.0,,2014,
8,8,2014-01-09,,81.64340884385643,,79.60190058909623,,79.98541118734845,,81.23281448061665,,85.02676198696872,,85.28109910779465,86.0,,2014,
9,9,2014-01-10,,86.74456575764765,,85.75810536124318,,86.65188024201426,,87.78867633049478,,90.7244539484264,,95.1211605997841,66.0,,2014,
10,10,2014-01-11,,115.53648689197772,,114.11688717086231,,115.40517076661675,,116.61225796602872,,118.00986239542925,,120.28819855413695,113.0,,2014,
11,11,2014-01-12,,123.72822857635617,,123.11944009635705,,124.44154944943845,,120.56153942871593,,121.85999898938766,,119.55744661225174,119.0,,2014,
12,12,2014-01-13,,87.77589305244496,,87.81669241263475,,88.66883870312688,,88.457730511588,,90.05566056671623,,92.9337943555594,108.0,,2014,
13,13,2014-01-14,,81.8968467670669,,81.94941548116594,,82.97194561359551,,81.92694420486696,,84.67419040960212,,84.57474743669694,110.0,,2014,
14,14,2014-01-15,,80.94427176053148,,81.63728573667123,,81.80805765455975,,81.58424077505825,,85.18983510906112,,86.73108786072929,103.0,,2014,
15,15,2014-01-16,,76.87212899493194,,76.4327011426621,,75.97588274424668,,75.90362264410717,,80.1983391036995,,80.2619127845144,104.0,,2014,
16,16,2014-01-17,,82.14679723359606,,82.69024494619644,,82.7749892778434,,82.72223141431046,,86.07965518148758,,90.18791845839475,103.0,,2014,
17,17,2014-01-18,,111.15199097311087,,111.16686215218223,,111.6841390716053,,111.84851981311475,,113.54310791237464,,115.4568022965148,104.0,,2014,
18,18,2014-01-19,,119.58748081761918,,120.29682071035687,,120.89192667122158,,116.12680094849361,,117.55634355621451,,114.83502328947293,118.0,,2014,
19,19,2014-01-20,,83.89941945043249,,85.12391727184404,,85.29811364203185,,84.36393986239248,,85.89133039479681,,88.31874530039461,127.0,,2014,
20,20,2014-01-21,,78.29483938877206,,79.38178871530079,,79.77939784274807,,78.17148408115082,,80.61740494142467,,80.05707992566269,82.0,,2014,
21,21,2014-01-22,,77.61649547293341,,79.18317948507006,,78.7848565825517,,78.15017530574464,,81.20189589921286,,82.29302274070565,86.0,,2014,
