r,g,b
69.0,69.0,75.0
61.0,61.0,65.0
57.0,55.0,59.0
57.0,56.0,61.0
66.0,67.0,74.0
68.0,71.0,78.0
62.0,64.0,71.0
56.0,55.0,59.0
49.0,47.0,49.0
47.0,46.0,46.0
45.0,43.0,42.0
40.0,38.0,39.0
53.0,42.0,40.0
123.0,84.0,62.0
90.0,73.0,69.0
109.0,105.0,103.0
165.0,157.0,140.0
198.0,182.0,158.0
208.0,194.0,173.0
160.0,150.0,140.0
100.0,90.0,80.0
153.0,138.0,116.0
182.0,162.0,133.0
180.0,166.0,147.0
138.0,136.0,142.0
48.0,49.0,59.0
49.0,54.0,67.0
60.0,69.0,90.0
56.0,67.0,89.0
66.0,77.0,98.0
64.0,74.0,97.0
56.0,68.0,90.0
44.0,53.0,73.0
21.0,27.0,41.0
18.0,17.0,27.0
33.0,16.0,22.0
39.0,13.0,17.0
37.0,11.0,17.0
37.0,12.0,17.0
170.0,157.0,128.0
112.0,100.0,86.0
73.0,58.0,51.0
95.0,67.0,55.0
120.0,88.0,73.0
118.0,110.0,109.0
81.0,84.0,93.0
65.0,66.0,73.0
61.0,62.0,66.0
61.0,60.0,64.0
59.0,58.0,62.0
56.0,55.0,57.0
51.0,51.0,52.0
50.0,49.0,50.0
60.0,57.0,57.0
51.0,49.0,50.0
46.0,42.0,40.0
48.0,43.0,40.0
58.0,53.0,49.0
54.0,49.0,45.0
42.0,38.0,37.0
47.0,36.0,32.0
114.0,76.0,53.0
72.0,51.0,42.0
75.0,72.0,70.0
132.0,130.0,120.0
124.0,117.0,112.0
146.0,134.0,123.0
99.0,84.0,79.0
58.0,44.0,39.0
93.0,82.0,68.0
149.0,134.0,110.0
153.0,147.0,143.0
76.0,77.0,87.0
63.0,67.0,78.0
42.0,45.0,60.0
39.0,44.0,59.0
49.0,55.0,74.0
45.0,53.0,72.0
41.0,49.0,66.0
31.0,38.0,54.0
14.0,18.0,29.0
20.0,17.0,26.0
35.0,16.0,23.0
43.0,16.0,21.0
46.0,19.0,24.0
47.0,19.0,26.0
47.0,18.0,25.0
146.0,147.0,109.0
176.0,165.0,139.0
175.0,163.0,144.0
197.0,179.0,155.0
201.0,181.0,154.0
171.0,164.0,152.0
86.0,86.0,90.0
62.0,62.0,67.0
57.0,57.0,60.0
49.0,47.0,47.0
43.0,40.0,40.0
48.0,45.0,45.0
69.0,62.0,56.0
77.0,66.0,57.0
111.0,93.0,77.0
105.0,88.0,74.0
108.0,90.0,76.0
100.0,84.0,73.0
101.0,87.0,76.0
81.0,69.0,59.0
66.0,54.0,47.0
71.0,55.0,46.0
122.0,87.0,64.0
130.0,92.0,77.0
125.0,93.0,84.0
142.0,122.0,112.0
88.0,76.0,78.0
97.0,85.0,86.0
65.0,50.0,49.0
81.0,69.0,63.0
96.0,86.0,74.0
133.0,125.0,115.0
113.0,113.0,124.0
54.0,59.0,71.0
35.0,40.0,53.0
30.0,32.0,44.0
30.0,30.0,41.0
33.0,34.0,45.0
36.0,39.0,54.0
30.0,34.0,48.0
15.0,17.0,29.0
21.0,15.0,26.0
36.0,16.0,24.0
42.0,16.0,22.0
44.0,16.0,23.0
45.0,17.0,24.0
47.0,19.0,26.0
48.0,20.0,28.0
141.0,145.0,105.0
201.0,194.0,159.0
221.0,214.0,188.0
231.0,222.0,200.0
237.0,228.0,204.0
209.0,204.0,189.0
103.0,103.0,103.0
57.0,56.0,59.0
45.0,42.0,43.0
40.0,35.0,36.0
39.0,34.0,32.0
61.0,52.0,47.0
121.0,104.0,88.0
125.0,101.0,81.0
136.0,110.0,88.0
119.0,98.0,81.0
119.0,100.0,84.0
102.0,84.0,73.0
81.0,68.0,59.0
52.0,42.0,35.0
61.0,48.0,40.0
81.0,65.0,55.0
110.0,86.0,71.0
178.0,126.0,111.0
196.0,111.0,94.0
197.0,121.0,106.0
174.0,107.0,97.0
145.0,94.0,89.0
85.0,57.0,53.0
87.0,73.0,65.0
101.0,93.0,85.0
138.0,137.0,143.0
72.0,76.0,91.0
30.0,33.0,48.0
28.0,30.0,43.0
31.0,34.0,47.0
29.0,31.0,43.0
32.0,32.0,44.0
31.0,31.0,42.0
17.0,18.0,28.0
25.0,15.0,24.0
37.0,15.0,22.0
43.0,16.0,22.0
46.0,19.0,26.0
51.0,22.0,30.0
54.0,24.0,32.0
53.0,23.0,31.0
53.0,23.0,31.0
143.0,144.0,105.0
190.0,180.0,148.0
216.0,206.0,179.0
222.0,208.0,184.0
209.0,202.0,182.0
166.0,164.0,154.0
110.0,109.0,107.0
71.0,71.0,68.0
44.0,42.0,40.0
48.0,42.0,40.0
70.0,59.0,51.0
115.0,97.0,82.0
146.0,123.0,103.0
126.0,102.0,82.0
101.0,81.0,65.0
79.0,64.0,53.0
81.0,67.0,57.0
92.0,76.0,65.0
90.0,75.0,63.0
66.0,53.0,44.0
70.0,59.0,51.0
77.0,65.0,57.0
83.0,68.0,58.0
111.0,85.0,75.0
172.0,126.0,111.0
186.0,125.0,109.0
176.0,94.0,78.0
185.0,104.0,89.0
199.0,143.0,131.0
177.0,133.0,123.0
113.0,98.0,97.0
128.0,129.0,140.0
53.0,58.0,76.0
42.0,47.0,66.0
35.0,40.0,56.0
33.0,37.0,50.0
29.0,31.0,44.0
28.0,29.0,41.0
21.0,19.0,29.0
26.0,14.0,22.0
38.0,14.0,20.0
40.0,15.0,21.0
42.0,16.0,22.0
46.0,19.0,25.0
53.0,24.0,30.0
56.0,24.0,32.0
56.0,24.0,32.0
53.0,24.0,31.0
161.0,150.0,113.0
174.0,149.0,122.0
193.0,165.0,144.0
201.0,168.0,147.0
152.0,130.0,112.0
93.0,85.0,83.0
89.0,90.0,95.0
101.0,103.0,103.0
82.0,77.0,71.0
110.0,94.0,81.0
147.0,122.0,101.0
151.0,126.0,105.0
123.0,102.0,83.0
101.0,82.0,69.0
76.0,62.0,52.0
40.0,33.0,27.0
41.0,33.0,28.0
64.0,51.0,44.0
80.0,67.0,58.0
77.0,62.0,53.0
71.0,55.0,46.0
99.0,80.0,68.0
111.0,92.0,79.0
120.0,100.0,87.0
132.0,108.0,92.0
136.0,101.0,84.0
151.0,104.0,87.0
186.0,129.0,112.0
209.0,156.0,139.0
183.0,128.0,112.0
130.0,110.0,105.0
105.0,102.0,110.0
35.0,39.0,53.0
31.0,35.0,48.0
30.0,33.0,47.0
28.0,30.0,43.0
23.0,24.0,35.0
20.0,21.0,30.0
23.0,15.0,23.0
26.0,13.0,19.0
20.0,10.0,15.0
21.0,11.0,15.0
24.0,11.0,15.0
26.0,12.0,16.0
30.0,14.0,19.0
38.0,17.0,24.0
42.0,17.0,24.0
43.0,18.0,24.0
177.0,157.0,123.0
159.0,129.0,108.0
174.0,136.0,120.0
163.0,123.0,107.0
164.0,121.0,105.0
144.0,116.0,105.0
119.0,110.0,109.0
96.0,100.0,105.0
128.0,116.0,106.0
169.0,143.0,119.0
143.0,119.0,100.0
116.0,97.0,81.0
95.0,78.0,66.0
75.0,62.0,55.0
56.0,47.0,42.0
43.0,35.0,32.0
56.0,46.0,42.0
74.0,62.0,55.0
87.0,73.0,65.0
94.0,79.0,70.0
128.0,102.0,91.0
181.0,146.0,129.0
197.0,162.0,144.0
198.0,163.0,145.0
196.0,160.0,140.0
199.0,158.0,137.0
197.0,154.0,134.0
207.0,162.0,142.0
212.0,166.0,144.0
206.0,159.0,138.0
190.0,152.0,133.0
146.0,119.0,106.0
74.0,59.0,58.0
29.0,24.0,28.0
32.0,26.0,28.0
53.0,44.0,42.0
61.0,55.0,54.0
67.0,63.0,60.0
68.0,64.0,61.0
56.0,54.0,51.0
42.0,40.0,39.0
25.0,25.0,27.0
14.0,16.0,19.0
11.0,14.0,17.0
9.0,13.0,16.0
13.0,13.0,16.0
21.0,15.0,16.0
28.0,17.0,18.0
168.0,154.0,120.0
133.0,109.0,86.0
132.0,96.0,76.0
127.0,90.0,74.0
135.0,92.0,76.0
122.0,84.0,68.0
113.0,86.0,75.0
99.0,87.0,80.0
143.0,119.0,101.0
130.0,108.0,90.0
79.0,67.0,57.0
89.0,77.0,69.0
94.0,81.0,73.0
95.0,83.0,74.0
71.0,61.0,55.0
58.0,47.0,44.0
101.0,82.0,76.0
133.0,110.0,101.0
146.0,122.0,112.0
155.0,127.0,116.0
184.0,147.0,134.0
204.0,162.0,145.0
212.0,170.0,152.0
214.0,173.0,151.0
217.0,173.0,149.0
221.0,174.0,151.0
220.0,172.0,150.0
221.0,173.0,149.0
221.0,173.0,146.0
220.0,173.0,148.0
218.0,171.0,147.0
215.0,169.0,147.0
201.0,159.0,139.0
159.0,126.0,111.0
144.0,112.0,96.0
138.0,107.0,90.0
117.0,90.0,80.0
92.0,71.0,63.0
63.0,52.0,49.0
61.0,55.0,51.0
67.0,64.0,62.0
61.0,59.0,61.0
44.0,46.0,48.0
27.0,31.0,35.0
18.0,23.0,26.0
16.0,19.0,22.0
17.0,20.0,20.0
23.0,23.0,22.0
171.0,167.0,127.0
162.0,149.0,114.0
144.0,123.0,91.0
127.0,105.0,83.0
105.0,80.0,65.0
96.0,72.0,59.0
96.0,79.0,71.0
116.0,102.0,90.0
127.0,104.0,87.0
86.0,71.0,60.0
63.0,53.0,47.0
69.0,59.0,54.0
70.0,61.0,55.0
64.0,55.0,49.0
54.0,45.0,42.0
51.0,39.0,36.0
130.0,98.0,88.0
178.0,142.0,130.0
188.0,152.0,140.0
196.0,158.0,146.0
202.0,162.0,148.0
205.0,163.0,148.0
192.0,152.0,136.0
178.0,139.0,119.0
187.0,139.0,117.0
197.0,148.0,127.0
210.0,163.0,144.0
224.0,178.0,160.0
219.0,172.0,150.0
210.0,162.0,139.0
204.0,157.0,134.0
197.0,152.0,130.0
197.0,150.0,130.0
199.0,154.0,134.0
194.0,154.0,133.0
200.0,157.0,136.0
213.0,168.0,146.0
206.0,160.0,141.0
176.0,135.0,120.0
102.0,78.0,69.0
46.0,37.0,35.0
49.0,48.0,49.0
62.0,64.0,67.0
56.0,59.0,61.0
47.0,48.0,50.0
41.0,42.0,43.0
32.0,35.0,36.0
28.0,31.0,33.0
160.0,167.0,117.0
151.0,161.0,109.0
156.0,162.0,106.0
143.0,145.0,111.0
97.0,93.0,77.0
106.0,91.0,76.0
129.0,113.0,98.0
133.0,117.0,102.0
104.0,87.0,73.0
90.0,75.0,64.0
68.0,57.0,50.0
42.0,37.0,33.0
41.0,35.0,33.0
43.0,37.0,34.0
48.0,40.0,37.0
66.0,47.0,43.0
153.0,115.0,104.0
186.0,147.0,136.0
185.0,143.0,132.0
184.0,143.0,129.0
191.0,152.0,138.0
186.0,149.0,137.0
149.0,119.0,105.0
148.0,110.0,93.0
157.0,112.0,93.0
175.0,128.0,110.0
199.0,152.0,138.0
206.0,159.0,149.0
201.0,153.0,140.0
191.0,142.0,125.0
186.0,138.0,118.0
179.0,132.0,112.0
176.0,130.0,110.0
185.0,139.0,120.0
186.0,143.0,124.0
177.0,138.0,118.0
184.0,145.0,126.0
200.0,156.0,136.0
203.0,157.0,136.0
191.0,149.0,130.0
129.0,100.0,87.0
56.0,41.0,36.0
43.0,38.0,39.0
55.0,57.0,60.0
72.0,70.0,66.0
72.0,67.0,62.0
49.0,51.0,54.0
43.0,47.0,52.0
102.0,124.0,74.0
113.0,135.0,75.0
139.0,158.0,88.0
146.0,157.0,113.0
129.0,133.0,103.0
128.0,114.0,92.0
125.0,106.0,87.0
103.0,87.0,73.0
113.0,97.0,83.0
105.0,93.0,84.0
50.0,43.0,39.0
25.0,24.0,23.0
31.0,27.0,27.0
47.0,40.0,37.0
54.0,42.0,39.0
106.0,78.0,69.0
173.0,134.0,123.0
186.0,150.0,138.0
184.0,143.0,131.0
178.0,136.0,121.0
175.0,134.0,118.0
145.0,114.0,101.0
104.0,80.0,67.0
113.0,79.0,66.0
140.0,99.0,85.0
142.0,97.0,82.0
163.0,114.0,102.0
172.0,122.0,113.0
170.0,121.0,110.0
158.0,108.0,94.0
140.0,93.0,76.0
133.0,89.0,70.0
146.0,105.0,84.0
160.0,117.0,98.0
173.0,131.0,112.0
175.0,135.0,115.0
162.0,127.0,108.0
168.0,136.0,117.0
183.0,146.0,127.0
189.0,147.0,127.0
181.0,142.0,123.0
125.0,99.0,87.0
63.0,47.0,40.0
50.0,42.0,40.0
69.0,65.0,62.0
64.0,68.0,69.0
63.0,65.0,66.0
56.0,58.0,61.0
99.0,119.0,66.0
115.0,134.0,70.0
129.0,146.0,80.0
137.0,145.0,108.0
132.0,138.0,105.0
145.0,140.0,107.0
113.0,93.0,74.0
89.0,72.0,57.0
100.0,84.0,71.0
84.0,75.0,67.0
37.0,34.0,30.0
16.0,16.0,17.0
27.0,25.0,26.0
47.0,39.0,37.0
68.0,50.0,45.0
128.0,92.0,82.0
167.0,125.0,114.0
175.0,134.0,122.0
176.0,134.0,121.0
179.0,135.0,120.0
168.0,126.0,110.0
125.0,96.0,83.0
81.0,60.0,50.0
78.0,55.0,47.0
104.0,74.0,66.0
125.0,85.0,72.0
136.0,91.0,80.0
147.0,100.0,90.0
141.0,92.0,80.0
118.0,72.0,59.0
98.0,62.0,46.0
102.0,69.0,51.0
124.0,86.0,67.0
145.0,103.0,85.0
165.0,124.0,105.0
175.0,135.0,115.0
175.0,138.0,118.0
156.0,123.0,106.0
167.0,134.0,115.0
182.0,143.0,124.0
184.0,145.0,126.0
167.0,134.0,118.0
112.0,88.0,74.0
68.0,50.0,43.0
51.0,42.0,41.0
54.0,56.0,59.0
60.0,63.0,67.0
55.0,58.0,60.0
119.0,135.0,77.0
133.0,143.0,84.0
168.0,163.0,112.0
174.0,162.0,128.0
150.0,150.0,113.0
168.0,165.0,126.0
127.0,108.0,88.0
100.0,82.0,64.0
116.0,97.0,79.0
91.0,79.0,69.0
33.0,30.0,27.0
18.0,18.0,19.0
28.0,25.0,26.0
57.0,46.0,43.0
98.0,74.0,66.0
132.0,96.0,84.0
153.0,110.0,99.0
159.0,114.0,102.0
163.0,118.0,104.0
169.0,123.0,108.0
164.0,121.0,107.0
115.0,86.0,75.0
70.0,48.0,39.0
65.0,45.0,37.0
82.0,56.0,50.0
109.0,73.0,62.0
122.0,80.0,71.0
130.0,85.0,75.0
118.0,70.0,58.0
106.0,65.0,53.0
118.0,82.0,69.0
109.0,72.0,60.0
138.0,96.0,84.0
165.0,120.0,104.0
172.0,128.0,111.0
174.0,134.0,114.0
173.0,135.0,115.0
159.0,125.0,107.0
152.0,123.0,105.0
171.0,137.0,120.0
189.0,153.0,134.0
180.0,146.0,128.0
148.0,119.0,104.0
99.0,76.0,64.0
72.0,54.0,47.0
52.0,45.0,42.0
40.0,40.0,40.0
25.0,26.0,27.0
150.0,158.0,100.0
191.0,183.0,136.0
182.0,158.0,129.0
181.0,144.0,122.0
177.0,145.0,123.0
195.0,171.0,147.0
150.0,131.0,112.0
113.0,92.0,70.0
119.0,98.0,77.0
69.0,59.0,50.0
36.0,33.0,32.0
32.0,31.0,31.0
28.0,24.0,24.0
68.0,54.0,48.0
103.0,78.0,66.0
128.0,95.0,81.0
139.0,100.0,87.0
143.0,100.0,87.0
147.0,101.0,88.0
153.0,107.0,93.0
151.0,107.0,95.0
109.0,80.0,70.0
74.0,48.0,39.0
77.0,51.0,41.0
84.0,55.0,47.0
111.0,75.0,65.0
137.0,94.0,86.0
133.0,85.0,75.0
121.0,73.0,62.0
125.0,85.0,75.0
144.0,105.0,93.0
105.0,71.0,60.0
107.0,69.0,64.0
174.0,124.0,113.0
178.0,129.0,114.0
175.0,129.0,115.0
168.0,129.0,114.0
155.0,121.0,105.0
138.0,109.0,93.0
152.0,123.0,106.0
177.0,144.0,125.0
187.0,151.0,132.0
166.0,133.0,119.0
123.0,96.0,82.0
93.0,70.0,57.0
76.0,59.0,48.0
47.0,39.0,36.0
38.0,38.0,40.0
159.0,158.0,111.0
185.0,167.0,133.0
108.0,93.0,76.0
102.0,75.0,59.0
134.0,94.0,79.0
160.0,119.0,104.0
145.0,121.0,100.0
110.0,89.0,70.0
105.0,85.0,67.0
74.0,63.0,53.0
58.0,55.0,50.0
37.0,36.0,35.0
24.0,21.0,19.0
60.0,48.0,41.0
105.0,80.0,67.0
122.0,92.0,76.0
130.0,96.0,82.0
134.0,96.0,82.0
133.0,93.0,78.0
138.0,96.0,83.0
141.0,100.0,88.0
114.0,82.0,71.0
94.0,63.0,51.0
99.0,65.0,54.0
106.0,73.0,63.0
144.0,102.0,92.0
170.0,121.0,114.0
165.0,114.0,107.0
164.0,111.0,104.0
136.0,94.0,87.0
146.0,105.0,95.0
151.0,115.0,95.0
115.0,86.0,74.0
158.0,103.0,100.0
180.0,129.0,118.0
165.0,117.0,107.0
160.0,117.0,108.0
147.0,113.0,99.0
125.0,96.0,81.0
134.0,106.0,90.0
154.0,124.0,106.0
176.0,138.0,120.0
172.0,134.0,120.0
139.0,108.0,96.0
102.0,76.0,61.0
94.0,72.0,57.0
85.0,66.0,55.0
68.0,57.0,51.0
130.0,122.0,97.0
164.0,146.0,117.0
90.0,75.0,57.0
71.0,53.0,35.0
89.0,61.0,43.0
127.0,91.0,69.0
141.0,114.0,92.0
99.0,80.0,65.0
86.0,70.0,58.0
77.0,66.0,55.0
52.0,46.0,38.0
38.0,34.0,30.0
29.0,25.0,21.0
