x_coordinate,y_coordinate,r,g,b
6.0,8.0,86.0,90.0,99.0
6.0,9.0,84.0,86.0,96.0
6.0,10.0,83.0,85.0,94.0
6.0,11.0,81.0,83.0,92.0
6.0,12.0,78.0,81.0,90.0
6.0,13.0,83.0,86.0,96.0
6.0,14.0,90.0,93.0,104.0
6.0,15.0,84.0,88.0,99.0
6.0,16.0,79.0,83.0,94.0
6.0,17.0,82.0,86.0,97.0
6.0,18.0,87.0,90.0,101.0
6.0,19.0,88.0,89.0,98.0
6.0,20.0,91.0,90.0,98.0
6.0,21.0,81.0,80.0,85.0
6.0,22.0,117.0,103.0,97.0
6.0,23.0,175.0,136.0,111.0
6.0,24.0,173.0,150.0,127.0
6.0,25.0,163.0,153.0,134.0
6.0,26.0,160.0,153.0,136.0
6.0,27.0,181.0,165.0,145.0
6.0,28.0,208.0,178.0,154.0
6.0,29.0,156.0,131.0,107.0
6.0,30.0,140.0,131.0,112.0
6.0,31.0,148.0,132.0,105.0
6.0,32.0,194.0,175.0,144.0
6.0,33.0,197.0,180.0,154.0
6.0,34.0,192.0,175.0,149.0
6.0,35.0,194.0,179.0,153.0
6.0,36.0,189.0,179.0,164.0
6.0,37.0,177.0,171.0,167.0
6.0,38.0,147.0,145.0,150.0
6.0,39.0,67.0,68.0,79.0
6.0,40.0,17.0,22.0,31.0
6.0,41.0,10.0,16.0,26.0
6.0,42.0,15.0,20.0,30.0
6.0,43.0,19.0,25.0,37.0
6.0,44.0,24.0,30.0,43.0
6.0,45.0,44.0,51.0,70.0
6.0,46.0,35.0,45.0,64.0
6.0,47.0,28.0,33.0,49.0
6.0,48.0,39.0,21.0,29.0
7.0,1.0,189.0,188.0,148.0
7.0,2.0,138.0,137.0,104.0
7.0,3.0,115.0,111.0,84.0
7.0,4.0,151.0,147.0,118.0
7.0,5.0,169.0,170.0,128.0
7.0,6.0,120.0,123.0,115.0
7.0,7.0,89.0,93.0,104.0
7.0,8.0,86.0,90.0,100.0
7.0,9.0,83.0,84.0,93.0
7.0,10.0,83.0,83.0,93.0
7.0,11.0,82.0,83.0,92.0
7.0,12.0,79.0,82.0,91.0
7.0,13.0,75.0,79.0,88.0
7.0,14.0,78.0,82.0,92.0
7.0,15.0,85.0,89.0,100.0
7.0,16.0,84.0,88.0,98.0
7.0,17.0,84.0,88.0,99.0
7.0,18.0,83.0,87.0,98.0
7.0,19.0,77.0,78.0,86.0
7.0,20.0,69.0,68.0,73.0
7.0,21.0,60.0,59.0,63.0
7.0,22.0,81.0,66.0,63.0
7.0,23.0,166.0,125.0,98.0
7.0,24.0,197.0,167.0,139.0
7.0,25.0,182.0,167.0,146.0
7.0,26.0,173.0,165.0,145.0
7.0,27.0,206.0,189.0,164.0
7.0,28.0,192.0,166.0,142.0
7.0,29.0,190.0,171.0,149.0
7.0,30.0,152.0,143.0,125.0
7.0,31.0,148.0,128.0,99.0
7.0,32.0,196.0,175.0,145.0
7.0,33.0,194.0,177.0,151.0
7.0,34.0,188.0,172.0,145.0
7.0,35.0,189.0,178.0,158.0
7.0,36.0,171.0,169.0,176.0
7.0,37.0,140.0,142.0,157.0
7.0,38.0,53.0,55.0,65.0
7.0,39.0,9.0,10.0,18.0
7.0,40.0,9.0,13.0,24.0
7.0,41.0,12.0,19.0,32.0
7.0,42.0,16.0,23.0,37.0
7.0,43.0,17.0,25.0,38.0
7.0,44.0,19.0,28.0,42.0
7.0,45.0,41.0,49.0,67.0
7.0,46.0,30.0,37.0,55.0
7.0,47.0,40.0,28.0,41.0
7.0,48.0,56.0,25.0,31.0
8.0,1.0,168.0,155.0,124.0
8.0,2.0,117.0,102.0,86.0
8.0,3.0,98.0,85.0,73.0
8.0,4.0,111.0,101.0,87.0
8.0,5.0,123.0,121.0,111.0
8.0,6.0,98.0,101.0,108.0
8.0,7.0,92.0,96.0,107.0
8.0,8.0,84.0,88.0,97.0
8.0,9.0,79.0,81.0,90.0
8.0,10.0,78.0,81.0,90.0
8.0,11.0,83.0,87.0,96.0
8.0,12.0,85.0,88.0,98.0
8.0,13.0,82.0,86.0,96.0
8.0,14.0,77.0,81.0,92.0
8.0,15.0,78.0,82.0,92.0
8.0,16.0,85.0,89.0,100.0
8.0,17.0,85.0,89.0,100.0
8.0,18.0,78.0,80.0,91.0
8.0,19.0,68.0,68.0,74.0
8.0,20.0,57.0,56.0,58.0
8.0,21.0,52.0,50.0,52.0
8.0,22.0,70.0,57.0,53.0
8.0,23.0,159.0,116.0,88.0
8.0,24.0,207.0,173.0,142.0
8.0,25.0,187.0,172.0,150.0
8.0,26.0,179.0,170.0,151.0
8.0,27.0,216.0,202.0,178.0
8.0,28.0,211.0,196.0,173.0
8.0,29.0,203.0,194.0,178.0
8.0,30.0,135.0,127.0,111.0
8.0,31.0,171.0,149.0,119.0
8.0,32.0,198.0,178.0,146.0
8.0,33.0,192.0,176.0,149.0
8.0,34.0,189.0,173.0,149.0
8.0,35.0,178.0,172.0,171.0
8.0,36.0,137.0,137.0,153.0
8.0,37.0,69.0,72.0,85.0
8.0,38.0,41.0,44.0,60.0
8.0,39.0,40.0,47.0,65.0
8.0,40.0,36.0,46.0,66.0
8.0,41.0,35.0,46.0,66.0
8.0,42.0,37.0,47.0,67.0
8.0,43.0,38.0,49.0,70.0
8.0,44.0,41.0,52.0,73.0
8.0,45.0,28.0,34.0,50.0
8.0,46.0,27.0,23.0,35.0
8.0,47.0,46.0,21.0,28.0
8.0,48.0,45.0,17.0,21.0
9.0,1.0,145.0,133.0,113.0
9.0,2.0,82.0,72.0,64.0
9.0,3.0,71.0,61.0,54.0
9.0,4.0,70.0,61.0,56.0
9.0,5.0,76.0,75.0,79.0
9.0,6.0,90.0,95.0,104.0
9.0,7.0,95.0,99.0,110.0
9.0,8.0,90.0,94.0,105.0
9.0,9.0,86.0,90.0,100.0
9.0,10.0,82.0,84.0,94.0
9.0,11.0,77.0,79.0,87.0
9.0,12.0,69.0,70.0,77.0
9.0,13.0,74.0,75.0,84.0
9.0,14.0,79.0,82.0,92.0
9.0,15.0,77.0,81.0,91.0
9.0,16.0,75.0,78.0,89.0
9.0,17.0,74.0,76.0,86.0
9.0,18.0,66.0,66.0,73.0
9.0,19.0,56.0,56.0,58.0
9.0,20.0,50.0,49.0,50.0
9.0,21.0,45.0,43.0,44.0
9.0,22.0,61.0,50.0,47.0
9.0,23.0,141.0,100.0,76.0
9.0,24.0,168.0,145.0,126.0
9.0,25.0,175.0,163.0,146.0
9.0,26.0,183.0,172.0,153.0
9.0,27.0,218.0,204.0,181.0
9.0,28.0,222.0,210.0,190.0
9.0,29.0,189.0,183.0,171.0
9.0,30.0,135.0,126.0,111.0
9.0,31.0,187.0,167.0,139.0
9.0,32.0,196.0,175.0,144.0
9.0,33.0,189.0,172.0,146.0
9.0,34.0,182.0,171.0,162.0
9.0,35.0,138.0,136.0,149.0
9.0,36.0,47.0,50.0,62.0
9.0,37.0,67.0,73.0,91.0
9.0,38.0,71.0,80.0,102.0
9.0,39.0,54.0,65.0,88.0
9.0,40.0,58.0,69.0,93.0
9.0,41.0,63.0,75.0,99.0
9.0,42.0,61.0,75.0,98.0
9.0,43.0,55.0,67.0,89.0
9.0,44.0,32.0,39.0,56.0
9.0,45.0,21.0,18.0,30.0
9.0,46.0,38.0,17.0,23.0
9.0,47.0,40.0,13.0,18.0
9.0,48.0,38.0,12.0,16.0
10.0,1.0,150.0,136.0,116.0
10.0,2.0,74.0,65.0,59.0
10.0,3.0,51.0,42.0,38.0
10.0,4.0,54.0,41.0,38.0
10.0,5.0,73.0,63.0,60.0
10.0,6.0,96.0,99.0,105.0
10.0,7.0,92.0,97.0,108.0
10.0,8.0,82.0,86.0,96.0
10.0,9.0,76.0,77.0,86.0
10.0,10.0,69.0,69.0,75.0
10.0,11.0,61.0,61.0,65.0
10.0,12.0,57.0,55.0,59.0
10.0,13.0,57.0,56.0,61.0
10.0,14.0,66.0,67.0,74.0
10.0,15.0,68.0,71.0,78.0
10.0,16.0,62.0,64.0,71.0
10.0,17.0,56.0,55.0,59.0
10.0,18.0,49.0,47.0,49.0
10.0,19.0,47.0,46.0,46.0
10.0,20.0,45.0,43.0,42.0
10.0,21.0,40.0,38.0,39.0
10.0,22.0,53.0,42.0,40.0
10.0,23.0,123.0,84.0,62.0
10.0,24.0,90.0,73.0,69.0
10.0,25.0,109.0,105.0,103.0
10.0,26.0,165.0,157.0,140.0
10.0,27.0,198.0,182.0,158.0
10.0,28.0,208.0,194.0,173.0
10.0,29.0,160.0,150.0,140.0
10.0,30.0,100.0,90.0,80.0
10.0,31.0,153.0,138.0,116.0
10.0,32.0,182.0,162.0,133.0
10.0,33.0,180.0,166.0,147.0
10.0,34.0,138.0,136.0,142.0
10.0,35.0,48.0,49.0,59.0
10.0,36.0,49.0,54.0,67.0
10.0,37.0,60.0,69.0,90.0
10.0,38.0,56.0,67.0,89.0
10.0,39.0,66.0,77.0,98.0
10.0,40.0,64.0,74.0,97.0
10.0,41.0,56.0,68.0,90.0
10.0,42.0,44.0,53.0,73.0
10.0,43.0,21.0,27.0,41.0
10.0,44.0,18.0,17.0,27.0
10.0,45.0,33.0,16.0,22.0
10.0,46.0,39.0,13.0,17.0
10.0,47.0,37.0,11.0,17.0
10.0,48.0,37.0,12.0,17.0
11.0,1.0,170.0,157.0,128.0
11.0,2.0,112.0,100.0,86.0
11.0,3.0,73.0,58.0,51.0
11.0,4.0,95.0,67.0,55.0
11.0,5.0,120.0,88.0,73.0
11.0,6.0,118.0,110.0,109.0
11.0,7.0,81.0,84.0,93.0
11.0,8.0,65.0,66.0,73.0
11.0,9.0,61.0,62.0,66.0
11.0,10.0,61.0,60.0,64.0
11.0,11.0,59.0,58.0,62.0
11.0,12.0,56.0,55.0,57.0
11.0,13.0,51.0,51.0,52.0
11.0,14.0,50.0,49.0,50.0
11.0,15.0,60.0,57.0,57.0
11.0,16.0,51.0,49.0,50.0
11.0,17.0,46.0,42.0,40.0
11.0,18.0,48.0,43.0,40.0
11.0,19.0,58.0,53.0,49.0
11.0,20.0,54.0,49.0,45.0
11.0,21.0,42.0,38.0,37.0
11.0,22.0,47.0,36.0,32.0
11.0,23.0,114.0,76.0,53.0
11.0,24.0,72.0,51.0,42.0
11.0,25.0,75.0,72.0,70.0
11.0,26.0,132.0,130.0,120.0
11.0,27.0,124.0,117.0,112.0
11.0,28.0,146.0,134.0,123.0
11.0,29.0,99.0,84.0,79.0
11.0,30.0,58.0,44.0,39.0
11.0,31.0,93.0,82.0,68.0
11.0,32.0,149.0,134.0,110.0
11.0,33.0,153.0,147.0,143.0
11.0,34.0,76.0,77.0,87.0
11.0,35.0,63.0,67.0,78.0
11.0,36.0,42.0,45.0,60.0
11.0,37.0,39.0,44.0,59.0
11.0,38.0,49.0,55.0,74.0
11.0,39.0,45.0,53.0,72.0
11.0,40.0,41.0,49.0,66.0
11.0,41.0,31.0,38.0,54.0
11.0,42.0,14.0,18.0,29.0
11.0,43.0,20.0,17.0,26.0
11.0,44.0,35.0,16.0,23.0
11.0,45.0,43.0,16.0,21.0
11.0,46.0,46.0,19.0,24.0
11.0,47.0,47.0,19.0,26.0
11.0,48.0,47.0,18.0,25.0
12.0,1.0,146.0,147.0,109.0
12.0,2.0,176.0,165.0,139.0
12.0,3.0,175.0,163.0,144.0
12.0,4.0,197.0,179.0,155.0
12.0,5.0,201.0,181.0,154.0
12.0,6.0,171.0,164.0,152.0
12.0,7.0,86.0,86.0,90.0
12.0,8.0,62.0,62.0,67.0
12.0,9.0,57.0,57.0,60.0
12.0,10.0,49.0,47.0,47.0
12.0,11.0,43.0,40.0,40.0
12.0,12.0,48.0,45.0,45.0
12.0,13.0,69.0,62.0,56.0
12.0,14.0,77.0,66.0,57.0
12.0,15.0,111.0,93.0,77.0
12.0,16.0,105.0,88.0,74.0
12.0,17.0,108.0,90.0,76.0
12.0,18.0,100.0,84.0,73.0
12.0,19.0,101.0,87.0,76.0
12.0,20.0,81.0,69.0,59.0
12.0,21.0,66.0,54.0,47.0
12.0,22.0,71.0,55.0,46.0
12.0,23.0,122.0,87.0,64.0
12.0,24.0,130.0,92.0,77.0
12.0,25.0,125.0,93.0,84.0
12.0,26.0,142.0,122.0,112.0
12.0,27.0,88.0,76.0,78.0
12.0,28.0,97.0,85.0,86.0
12.0,29.0,65.0,50.0,49.0
12.0,30.0,81.0,69.0,63.0
12.0,31.0,96.0,86.0,74.0
12.0,32.0,133.0,125.0,115.0
12.0,33.0,113.0,113.0,124.0
12.0,34.0,54.0,59.0,71.0
12.0,35.0,35.0,40.0,53.0
12.0,36.0,30.0,32.0,44.0
12.0,37.0,30.0,30.0,41.0
12.0,38.0,33.0,34.0,45.0
12.0,39.0,36.0,39.0,54.0
12.0,40.0,30.0,34.0,48.0
12.0,41.0,15.0,17.0,29.0
12.0,42.0,21.0,15.0,26.0
12.0,43.0,36.0,16.0,24.0
12.0,44.0,42.0,16.0,22.0
12.0,45.0,44.0,16.0,23.0
12.0,46.0,45.0,17.0,24.0
12.0,47.0,47.0,19.0,26.0
12.0,48.0,48.0,20.0,28.0
13.0,1.0,141.0,145.0,105.0
13.0,2.0,201.0,194.0,159.0
13.0,3.0,221.0,214.0,188.0
13.0,4.0,231.0,222.0,200.0
13.0,5.0,237.0,228.0,204.0
13.0,6.0,209.0,204.0,189.0
13.0,7.0,103.0,103.0,103.0
13.0,8.0,57.0,56.0,59.0
13.0,9.0,45.0,42.0,43.0
13.0,10.0,40.0,35.0,36.0
13.0,11.0,39.0,34.0,32.0
13.0,12.0,61.0,52.0,47.0
13.0,13.0,121.0,104.0,88.0
13.0,14.0,125.0,101.0,81.0
13.0,15.0,136.0,110.0,88.0
13.0,16.0,119.0,98.0,81.0
13.0,17.0,119.0,100.0,84.0
13.0,18.0,102.0,84.0,73.0
13.0,19.0,81.0,68.0,59.0
13.0,20.0,52.0,42.0,35.0
13.0,21.0,61.0,48.0,40.0
13.0,22.0,81.0,65.0,55.0
13.0,23.0,110.0,86.0,71.0
13.0,24.0,178.0,126.0,111.0
13.0,25.0,196.0,111.0,94.0
13.0,26.0,197.0,121.0,106.0
13.0,27.0,174.0,107.0,97.0
13.0,28.0,145.0,94.0,89.0
13.0,29.0,85.0,57.0,53.0
13.0,30.0,87.0,73.0,65.0
13.0,31.0,101.0,93.0,85.0
13.0,32.0,138.0,137.0,143.0
13.0,33.0,72.0,76.0,91.0
13.0,34.0,30.0,33.0,48.0
13.0,35.0,28.0,30.0,43.0
13.0,36.0,31.0,34.0,47.0
13.0,37.0,29.0,31.0,43.0
13.0,38.0,32.0,32.0,44.0
13.0,39.0,31.0,31.0,42.0
13.0,40.0,17.0,18.0,28.0
13.0,41.0,25.0,15.0,24.0
13.0,42.0,37.0,15.0,22.0
13.0,43.0,43.0,16.0,22.0
13.0,44.0,46.0,19.0,26.0
13.0,45.0,51.0,22.0,30.0
13.0,46.0,54.0,24.0,32.0
13.0,47.0,53.0,23.0,31.0
13.0,48.0,53.0,23.0,31.0
14.0,1.0,143.0,144.0,105.0
14.0,2.0,190.0,180.0,148.0
14.0,3.0,216.0,206.0,179.0
14.0,4.0,222.0,208.0,184.0
14.0,5.0,209.0,202.0,182.0
14.0,6.0,166.0,164.0,154.0
14.0,7.0,110.0,109.0,107.0
14.0,8.0,71.0,71.0,68.0
14.0,9.0,44.0,42.0,40.0
14.0,10.0,48.0,42.0,40.0
14.0,11.0,70.0,59.0,51.0
14.0,12.0,115.0,97.0,82.0
14.0,13.0,146.0,123.0,103.0
14.0,14.0,126.0,102.0,82.0
14.0,15.0,101.0,81.0,65.0
14.0,16.0,79.0,64.0,53.0
14.0,17.0,81.0,67.0,57.0
14.0,18.0,92.0,76.0,65.0
14.0,19.0,90.0,75.0,63.0
14.0,20.0,66.0,53.0,44.0
14.0,21.0,70.0,59.0,51.0
14.0,22.0,77.0,65.0,57.0
14.0,23.0,83.0,68.0,58.0
14.0,24.0,111.0,85.0,75.0
14.0,25.0,172.0,126.0,111.0
14.0,26.0,186.0,125.0,109.0
14.0,27.0,176.0,94.0,78.0
14.0,28.0,185.0,104.0,89.0
14.0,29.0,199.0,143.0,131.0
14.0,30.0,177.0,133.0,123.0
14.0,31.0,113.0,98.0,97.0
14.0,32.0,128.0,129.0,140.0
14.0,33.0,53.0,58.0,76.0
14.0,34.0,42.0,47.0,66.0
14.0,35.0,35.0,40.0,56.0
14.0,36.0,33.0,37.0,50.0
14.0,37.0,29.0,31.0,44.0
14.0,38.0,28.0,29.0,41.0
14.0,39.0,21.0,19.0,29.0
14.0,40.0,26.0,14.0,22.0
14.0,41.0,38.0,14.0,20.0
14.0,42.0,40.0,15.0,21.0
14.0,43.0,42.0,16.0,22.0
14.0,44.0,46.0,19.0,25.0
14.0,45.0,53.0,24.0,30.0
14.0,46.0,56.0,24.0,32.0
14.0,47.0,56.0,24.0,32.0
14.0,48.0,53.0,24.0,31.0
15.0,1.0,161.0,150.0,113.0
15.0,2.0,174.0,149.0,122.0
15.0,3.0,193.0,165.0,144.0
15.0,4.0,201.0,168.0,147.0
15.0,5.0,152.0,130.0,112.0
15.0,6.0,93.0,85.0,83.0
15.0,7.0,89.0,90.0,95.0
15.0,8.0,101.0,103.0,103.0
15.0,9.0,82.0,77.0,71.0
15.0,10.0,110.0,94.0,81.0
15.0,11.0,147.0,122.0,101.0
15.0,12.0,151.0,126.0,105.0
15.0,13.0,123.0,102.0,83.0
15.0,14.0,101.0,82.0,69.0
15.0,15.0,76.0,62.0,52.0
15.0,16.0,40.0,33.0,27.0
15.0,17.0,41.0,33.0,28.0
15.0,18.0,64.0,51.0,44.0
15.0,19.0,80.0,67.0,58.0
15.0,20.0,77.0,62.0,53.0
15.0,21.0,71.0,55.0,46.0
15.0,22.0,99.0,80.0,68.0
15.0,23.0,111.0,92.0,79.0
